Product Name,Price,Color,Product Link,Image Link
High-waisted tailored trousers,"Rs.1,499.00",Black,https://www2.hm.com/en_in/productpage.1091186001.html,"https://lp2.hm.com/hmgoepprod?set=source[/13/ce/13ce8a4021d37843037e003aa124e28311dda054.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend blouse,"Rs.1,299.00",Cream/Floral,https://www2.hm.com/en_in/productpage.1215654007.html,"https://lp2.hm.com/hmgoepprod?set=source[/a7/0c/a70c7256ea3fdd363ab065cfadc6245009737d9c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Buckle-detail tailored trousers,"Rs.1,499.00",Beige,https://www2.hm.com/en_in/productpage.1224090002.html,"https://lp2.hm.com/hmgoepprod?set=source[/ca/0a/ca0a21f14345abebb76a43354a77949b387122d8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wide joggers,"Rs.1,299.00",Dark grey,https://www2.hm.com/en_in/productpage.1199249010.html,"https://lp2.hm.com/hmgoepprod?set=source[/1b/33/1b333efa80163904942c949a64362e3319596b3b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Straight High Jeans,"Rs.1,499.00",Black,https://www2.hm.com/en_in/productpage.1209534003.html,"https://lp2.hm.com/hmgoepprod?set=source[/9b/75/9b7582d1f714e08f33125b4cecafd2f8f898f168.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wide High Jeans,"Rs.2,299.00",Denim blue,https://www2.hm.com/en_in/productpage.1045459026.html,"https://lp2.hm.com/hmgoepprod?set=source[/2b/f5/2bf50b4c08943f001055f4f7038485b0fdd113ce.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped ribbed T-shirt,Rs.399.00,Light greige,https://www2.hm.com/en_in/productpage.1212806004.html,"https://lp2.hm.com/hmgoepprod?set=source[/65/b9/65b9ecb3183dc7f7679119de5288fcb13df4b612.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped ribbed T-shirt,Rs.399.00,Black,https://www2.hm.com/en_in/productpage.1212806001.html,"https://lp2.hm.com/hmgoepprod?set=source[/73/fc/73fc29cbc870f2a98d92fdd9ee0c5a5e5954f00e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped vest top,Rs.799.00,Pink,https://www2.hm.com/en_in/productpage.1230289001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5d/3e/5d3ed6625c1471bfb8d20c542203ef907c32ee92.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Feather Soft Straight Regular Jeans,"Rs.1,999.00",Light denim blue,https://www2.hm.com/en_in/productpage.1212909004.html,"https://lp2.hm.com/hmgoepprod?set=source[/d0/5f/d05fdaec2ec6e46c3af123ffbfe2bd85540a5974.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Twill cargo trousers,"Rs.1,999.00",Light beige,https://www2.hm.com/en_in/productpage.1214176001.html,"https://lp2.hm.com/hmgoepprod?set=source[/be/a9/bea991c01acb283856cc840f75f2041a227a8381.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny High Jeans,"Rs.1,499.00",Denim blue,https://www2.hm.com/en_in/productpage.1025457003.html,"https://lp2.hm.com/hmgoepprod?set=source[/44/38/44381487b60d8393a3b4ebbe8b325270ec87586b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped ribbed T-shirt,Rs.399.00,Dark grey,https://www2.hm.com/en_in/productpage.1212806003.html,"https://lp2.hm.com/hmgoepprod?set=source[/e6/11/e6112d2ec5349341cfeb1d8e0d19a1ade40447a8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend blouse,"Rs.1,299.00",Light blue,https://www2.hm.com/en_in/productpage.1215654008.html,"https://lp2.hm.com/hmgoepprod?set=source[/6b/9e/6b9e9310d34ebf153879d6bedde05e2c2086fa23.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
2-pack cropped T-shirts,Rs.799.00,Black/White,https://www2.hm.com/en_in/productpage.1141812001.html,"https://lp2.hm.com/hmgoepprod?set=source[/5d/e8/5de8e7fe9e628b074ae98a23639ecc5218d852cd.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend off-the-shoulder dress,"Rs.3,999.00",Black/Floral,https://www2.hm.com/en_in/productpage.1224288001.html,"https://lp2.hm.com/hmgoepprod?set=source[/88/e6/88e67d1d52f3d68e757223eae4a8106d9b9bce16.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped vest top,Rs.799.00,Cream/Black striped,https://www2.hm.com/en_in/productpage.1049251010.html,"https://lp2.hm.com/hmgoepprod?set=source[/1b/1f/1b1f0a6977e1f30e5350c1cc2bba87ebf9e32eb4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
